name,sigla,state
Faculdade De Campina Grande Do Sul,Facsul,Pr
Faculdade De Campo Limpo Paulista,Faccamp,Sp
Faculdade De Campo Verde,Fcv,Mt
Faculdade De Cariacica,Fac De Cariacica,Es
Faculdade De Cascavel,Fadec,Pr
Faculdade De Castanhal,Fcat,Pa
Faculdade De Castelo,Facastelo,Es
Faculdade De Castelo - Multivix Castelo,Multivix Castelo,Es
Faculdade De Ceres,Faceres,Go
Faculdade De Ciencia Da Computacao E Informatica Silva Serpa,Fass,Rj
Faculdade De Ciencia E Educacao Do Caparao,Facec,Es
Faculdade De Ciencia E Tecnologia,Facitec,Pr
Faculdade De Ciencia E Tecnologia De Caruaru,Facitec,Pe
Faculdade De Ciencia E Tecnologia De Montes Claros,Facit,Mg
Faculdade De Ciencia E Tecnologia Do Planalto Central,Faciplac,Df
Faculdade De Ciencias Administrativas,Fca,Mt
Faculdade De Ciencias Administrativas E Contabeis Costa Braga,Fcb,Sp
Faculdade De Ciencias Agrarias De Andradina,Fcaa,Sp
Faculdade De Ciencias Agrarias De Araripina,Faciagra,Pe
Faculdade De Ciencias Agrarias E Da Saude,Fas,Ba
Faculdade De Ciencias Agrarias E Exatas De Primavera Do Leste,Fcae,Null
Faculdade De Ciencias Ambientais De Caratinga,Doctum,Mg
Faculdade De Ciencias Aplicadas De Limoeiro,Null,Pe
Faculdade De Ciencias Aplicadas Doutor Leao Sampaio,Fals,Ce
Faculdade De Ciencias Aplicadas E Sociais De Petrolina,Facape,Pe
Faculdade De Ciencias Aplicadas E Tecnologicas Do Litoral Sul,Null,Sp
Faculdade De Ciencias Aplicadas Piauiense,Facapi,Pi
Faculdade De Ciencias Biologicas E Da Saude,Facibios,Mg
Faculdade De Ciencias Biologicas Jk,Faculdade Jk,Null
Faculdade De Ciencias Biomedicas De Cacoal,Facimed,Ro
Faculdade De Ciencias Biomedicas Do Espirito Santo,Pio Xii - Bio,Es
Faculdade De Ciencias Contabeis,Facic,Ba
Faculdade De Ciencias Contabeis De Afonso Claudio,Iseac,Es
Faculdade De Ciencias Contabeis De Alta Floresta,Facterflor,Null
Faculdade De Ciencias Contabeis De Araguaina,Itpac,To
Faculdade De Ciencias Contabeis De Assis,Fcca,Null
Faculdade De Ciencias Contabeis De Divinopolis,Faced,Mg
Faculdade De Ciencias Contabeis De Itabirito,Facci,Mg
Faculdade De Ciencias Contabeis De Itapetininga,Fcci,Sp
Faculdade De Ciencias Contabeis De Jequie,Fccj,Ba
Faculdade De Ciencias Contabeis De Lucelia,Cealpa,Null
Faculdade De Ciencias Contabeis De Navirai,Facinav,Ms
Faculdade De Ciencias Contabeis De Nova Andradina - Facinan,Facinan,Ms
Faculdade De Ciencias Contabeis De Ponte Nova,Face,Mg
Faculdade De Ciencias Contabeis De Recife,Faccor,Null
Faculdade De Ciencias Contabeis E Administrativas De Cachoeiro Do Itapemirim,Faccaci,Es
Faculdade De Ciencias Contabeis E De Administracao De Empresas,Fccae,Rj
Faculdade De Ciencias Contabeis E De Administracao Do Vale Do Juruena,Ajes,Mt
Faculdade De Ciencias Contabeis Luiz Mendes,Lumen Faculdades,Pb
Faculdade De Ciencias Cultura E Extensao Do Rn,Facex,Rn
Faculdade De Ciencias Da Administracao De Garanhuns,Faga,Pe
Faculdade De Ciencias Da Administracao De Pernambuco,Fcap,Pe
Faculdade De Ciencias Da Administracao Do Limoeiro,Facal,Pe
Faculdade De Ciencias Da Bahia,Faciba,Ba
Faculdade De Ciencias Da Bahia - Faciba,Faciba,Ba
Faculdade De Ciencias Da Fundacao Instituto Tecnologico De Osasco,Fac-Fito,Sp
Faculdade De Ciencias Da Saude,Facs,Se
Faculdade De Ciencias Da Saude Archimedes Theodoro,Fac - Saude Arthe,Mg
Faculdade De Ciencias Da Saude De Ariquemes,Facisa,Null
Faculdade De Ciencias Da Saude De Barretos Dr. Paulo Prata,Facisb,Sp
Faculdade De Ciencias Da Saude De Campos Gerais,Facica,Mg
Faculdade De Ciencias Da Saude De Joinville,Fcsj,Null
Faculdade De Ciencias Da Saude De Sao Paulo,Facis,Sp
Faculdade De Ciencias Da Saude De Serra Talhada,Facisst,Pe
Faculdade De Ciencias Da Saude De Unai,Facisa,Mg
Faculdade De Ciencias Da Saude Do Grupo Hospitalar Conceicao,Facs - Ghc,Rs
Faculdade De Ciencias Da Saude Igesp,,Sp
Faculdade De Ciencias Da Saude Moinhos De Vento,Facsmv,Rs
Faculdade De Ciencias Da Saude Pitagoras De Codo,,Ma
Faculdade De Ciencias De Goiana,Fcg,Pe
Faculdade De Ciencias De Guarulhos,Facig,Sp
Faculdade De Ciencias De Rubiataba,Facer,Go
Faculdade De Ciencias De Timbauba,Facet,Pe
Faculdade De Ciencias De Wenceslau Braz,Facibra,Pr
Faculdade De Ciencias Do Tocantins,Facit,To
Faculdade De Ciencias E Cultura Da Bahia,Fccb,Ba
Faculdade De Ciencias E Cultura De Cajazeiras,Fccc,Ba
Faculdade De Ciencias E Educacao Do Espirito Santo,Unives,Es
Faculdade De Ciencias E Educacao Em Saude,Faccesa,Pe
Faculdade De Ciencias E Educacao Sena Aires,Facesa,Go
Faculdade De Ciencias E Letras De Braganca Paulista,Fesb,Sp
Faculdade De Ciencias E Saude De Serra Talhada,Facisst,Pe
Faculdade De Ciencias E Saude Edufor,Edufor,Ma
Faculdade De Ciencias E Tecnologia Da Bahia,Facite,Ba
Faculdade De Ciencias E Tecnologia De Birigui,Fateb,Sp
Faculdade De Ciencias E Tecnologia De Chapeco,Facitec,Sc
Faculdade De Ciencias E Tecnologia De Janauba,Facitec,Mg
Faculdade De Ciencias E Tecnologia De Natal,Faciten,Rn
Faculdade De Ciencias E Tecnologia De Teresina,Facet,Pi
Faculdade De Ciencias E Tecnologia De Unai,Factu,Mg
Faculdade De Ciencias E Tecnologia De Unai - Factu,Factu,Mg
Faculdade De Ciencias E Tecnologia Do Maranhao,Facema,Null
Faculdade De Ciencias E Tecnologia Do Parana,Facet-Pr,Pr
Faculdade De Ciencias E Tecnologia Paschoal Dantas,,Sp
Faculdade De Ciencias E Tecnologia Paulistana,Facitep,Null
Faculdade De Ciencias E Tecnologias De Campos Gerais,Facica,Mg
Faculdade De Ciencias Economicas,Facamp,Null
Faculdade De Ciencias Economicas Administrativas E Contabeis De Divinopolis,Faced,Mg
Faculdade De Ciencias Economicas Administrativas E Da Computacao Dom Bosco,Fceacdb,Rj
Faculdade De Ciencias Economicas Da Regiao Carbonifera,Facierc,Sc
Faculdade De Ciencias Economicas De Jequie,Fcej,Ba
Faculdade De Ciencias Economicas Do Triangulo Mineiro,Fcetm,Mg
Faculdade De Ciencias Economicas E Administrativas De Vila Velha,Null,Es
Faculdade De Ciencias Economicas E Administrativas Santa Rita De Cassia,Faceas,Sp
Faculdade De Ciencias Educacao E Tecnologia De Garanhuns,Faceteg,Pe
Faculdade De Ciencias Educacao E Teologia Do Norte Do Brasil,Faceten,Rr
Faculdade De Ciencias Educacionais,Face,Ba
Faculdade De Ciencias Educacionais De Capim Grosso,Fcg,Ba
Faculdade De Ciencias Educacionais De Sergipe,Fces,Se
Faculdade De Ciencias Educacionais Do Rio Grande Do Norte,Facern,Rn
Faculdade De Ciencias Educacionais E Empresariais De Natal,Facen,Rn
Faculdade De Ciencias Educacionais E Sistemas Integrados,Facesi,Pr
Faculdade De Ciencias Educacionais E Tecnologias Integradas,Faceti,Es
Faculdade De Ciencias Empresariais,Facemp,Ba
Faculdade De Ciencias Exatas De Garanhuns,Faceg,Pe
Faculdade De Ciencias Exatas E Humanas Da Campanha,Fccp,Null
Faculdade De Ciencias Exatas E Tecnologicas De Uniao Da Vitoria,Null,Null
Faculdade De Ciencias Exatas E Tecnologicas Santo Agostinho - Facet,Facet,Null
Faculdade De Ciencias Gerenciais,Null,Mg
Faculdade De Ciencias Gerenciais - Cotia,Fcg - Cotia,Sp
Faculdade De Ciencias Gerenciais Alves Fortes,Face - Alfor,Mg
Faculdade De Ciencias Gerenciais Alves Fortes (Juiz De Fora),Face Alfor Jf,Mg
Faculdade De Ciencias Gerenciais Barao De Jundiai,Fcg,Sp
Faculdade De Ciencias Gerenciais Da Bahia,Unicenid,Ba
Faculdade De Ciencias Gerenciais De Bicas,Fcgb,Mg
Faculdade De Ciencias Gerenciais De Manhuacu,Facig,Mg
Faculdade De Ciencias Gerenciais De Santos Dumont,Facig,Mg
Faculdade De Ciencias Gerenciais De Sao Gotardo,Cesg,Mg
Faculdade De Ciencias Gerenciais De Vilhena,Fcgv,Null
Faculdade De Ciencias Gerenciais E Empreendedorismo - Facige,Facige,Mg
Faculdade De Ciencias Gerenciais Padre Arnaldo Janssen,Fajanssen,Null
Faculdade De Ciencias Humanas,Imensu,Sp
Faculdade De Ciencias Humanas De Aguai,Facha,Sp
Faculdade De Ciencias Humanas De Cruzeiro,Facic,Sp
Faculdade De Ciencias Humanas De Curvelo,Facic,Mg
Faculdade De Ciencias Humanas De Fortaleza,Fchfor,Ce
Faculdade De Ciencias Humanas De Itabira,Fachi,Null
Faculdade De Ciencias Humanas De Olinda,Facho,Pe
Faculdade De Ciencias Humanas De Pernambuco,Fchpe,Pe
Faculdade De Ciencias Humanas De Vitoria,Favix,Es
Faculdade De Ciencias Humanas Do Estado De Sao Paulo,Facic,Sp
Faculdade De Ciencias Humanas Do Sertao Central,Fachusc,Pe
Faculdade De Ciencias Humanas Do Sul Paulista,Fachi,Sp
Faculdade De Ciencias Humanas Do Vale Do Piranga,Favap,Mg
Faculdade De Ciencias Humanas Do Vale Do Rio Grande,Fchvrg,Sp
Faculdade De Ciencias Humanas E Biologicas E Da Saude,Fchbs,Mt
Faculdade De Ciencias Humanas E Exatas Do Sertao Do Sao Francisco,Facesf,Pe
Faculdade De Ciencias Humanas E Sociais,Fchs,Rj
Faculdade De Ciencias Humanas E Sociais Aplicadas Do Cabo De Santo Agostinho,Fachuca,Pe
Faculdade De Ciencias Humanas E Sociais De Araripina,Facisa,Pe
Faculdade De Ciencias Humanas E Sociais De Araripina - Facisa,Facisa,Pe
Faculdade De Ciencias Humanas E Sociais De Igarassu,Facig,Pe
Faculdade De Ciencias Humanas E Sociais De Serra Talhada,Fachusst,Pe
Faculdade De Ciencias Humanas E Sociais Do Xingu E Amazonia,Facx,Pa
Faculdade De Ciencias Humanas Economicas E Da Saude De Araguaina,Fahesa / Itpac,To
Faculdade De Ciencias Humanas Esuda,Fche,Pe
Faculdade De Ciencias Humanas Exatas E Letras De Rondonia,Faro,Ro
Faculdade De Ciencias Humanas Sao Paulo,Fach,Sp
"Faculdade De Ciencias Humanas,Exatas E Da Saude Do Piaui",Fahesp,Pi
Faculdade De Ciencias Juridicas Anhanguera De Arapiraca,,Al
Faculdade De Ciencias Juridicas De Aimores,Null,Mg
Faculdade De Ciencias Juridicas De Alagoas,Fcjal,Null
Faculdade De Ciencias Juridicas De Alagoinhas,,Null
Faculdade De Ciencias Juridicas De Altamira,,Pa
Faculdade De Ciencias Juridicas De Assis,,Sp
Faculdade De Ciencias Juridicas De Belo Jardim,,Pe
Faculdade De Ciencias Juridicas De Bom Jesus Da Lapa,,Ba
Faculdade De Ciencias Juridicas De Campina Grande,,Pb
Faculdade De Ciencias Juridicas De Catanduva,,Null
Faculdade De Ciencias Juridicas De Cruz Das Almas,,Ba
Faculdade De Ciencias Juridicas De Diamantina,Fcj,Null
Faculdade De Ciencias Juridicas De Erechim,,Rs
Faculdade De Ciencias Juridicas De Eunapolis,,Null
Faculdade De Ciencias Juridicas De Franca,,Null
Faculdade De Ciencias Juridicas De Guanambi,,Null
Faculdade De Ciencias Juridicas De Irece,,Null
Faculdade De Ciencias Juridicas De Itabira,,Null
Faculdade De Ciencias Juridicas De Itapeva,,Null
Faculdade De Ciencias Juridicas De Itumbiara,,Go
Faculdade De Ciencias Juridicas De Jaboatao Dos Guararapes,,Pe
Faculdade De Ciencias Juridicas De Jacobina,,Ba
Faculdade De Ciencias Juridicas De Jau,,Null
Faculdade De Ciencias Juridicas De Jequie,,Null
Faculdade De Ciencias Juridicas De Juiz De Fora,,Null
Faculdade De Ciencias Juridicas De Luziania,,Go
Faculdade De Ciencias Juridicas De Maraba,,Null
Faculdade De Ciencias Juridicas De Marilia,,Null
Faculdade De Ciencias Juridicas De Mogi Guacu,,Null
Faculdade De Ciencias Juridicas De Paragominas,,Null
Faculdade De Ciencias Juridicas De Paraiso Do Tocantins,Fcjp,To
Faculdade De Ciencias Juridicas De Pouso Alegre,,Null
Faculdade De Ciencias Juridicas De Ribeirao Das Neves,,Null
Faculdade De Ciencias Juridicas De Rio Branco,,Null
Faculdade De Ciencias Juridicas De Rio Verde,,Go
Faculdade De Ciencias Juridicas De Santa Maria,Unism,Rs
Faculdade De Ciencias Juridicas De Santo Antonio De Jesus,,Null
Faculdade De Ciencias Juridicas De Santos Dumont,Fcjsd,Null
Faculdade De Ciencias Juridicas De Sao Joao Da Boa Vista,,Sp
Faculdade De Ciencias Juridicas De Sao Jose Do Rio Preto,,Null
Faculdade De Ciencias Juridicas De Serra,,Null
Faculdade De Ciencias Juridicas De Serrinha,,Null
Faculdade De Ciencias Juridicas De Tiangua,,Ce
Faculdade De Ciencias Juridicas De Tucurui,,Pa
Faculdade De Ciencias Juridicas De Uruguaiana,,Null
Faculdade De Ciencias Juridicas E Gerenciais De Garca,Faeg,Null
Faculdade De Ciencias Juridicas E Sociais Aplicadas De Primavera Do Leste,Fcjsa,Null
Faculdade De Ciencias Juridicas E Sociais Aplicadas Do Araguaia,Faculdades Cathedral,Mt
Faculdade De Ciencias Juridicas E Sociais Aplicadas Rio Branco - Firb,Firb,Null
Faculdade De Ciencias Juridicas E Sociais De Maceio,Fama,Al
Faculdade De Ciencias Juridicas Professor Alberto Deodato,Fcjpad,Mg
Faculdade De Ciencias Medicas Cemepe,Cemepe,Mg
Faculdade De Ciencias Medicas Da Bahia,Ciencias Medicas,Ba
Faculdade De Ciencias Medicas Da Paraiba,Fcm-Pb,Pb
Faculdade De Ciencias Medicas Da Santa Casa Sao Paulo,Fcmscsp,Sp
Faculdade De Ciencias Medicas De Campina Grande,Fcm,Null
Faculdade De Ciencias Medicas De Marica,,Rj
Faculdade De Ciencias Medicas De Minas Gerais,Fcmmg,Mg
Faculdade De Ciencias Medicas De Pernambuco,Fcm,Pe
Faculdade De Ciencias Medicas De Sao Jose Dos Campos,,Sp
Faculdade De Ciencias Medicas De Tres Rios,Fcm/Tr,Rj
Faculdade De Ciencias Medicas Do Para,Facimpa,Pa
Faculdade De Ciencias Medicas E Da Saude De Juiz De Fora,Fcms/Jf,Mg
Faculdade De Ciencias Medicas E Juridica,Facmed,To
Faculdade De Ciencias Medicas E Paramedicas Fluminense,Seflu,Rj
Faculdade De Ciencias Odontologicas,Fco,Mg
Faculdade De Ciencias Saude Exatas E Juridicas De Teresina,Faculdade Ceut,Pi
Faculdade De Ciencias Sociais Aplicadas,Facisa,Ba
Faculdade De Ciencias Sociais Aplicadas De Belo Horizonte,Facisabh,Mg
Faculdade De Ciencias Sociais Aplicadas De Conselheiro Lafaiete,Facesa,Null
Faculdade De Ciencias Sociais Aplicadas De Extrema,Faex,Mg
Faculdade De Ciencias Sociais Aplicadas De Maraba,Facimab,Pa
Faculdade De Ciencias Sociais Aplicadas De Minas Gerais,Facisamg,Mg
Faculdade De Ciencias Sociais Aplicadas De Penedo,Fcsap,Null
Faculdade De Ciencias Sociais Aplicadas Do Sul De Minas,Facesm,Mg
Faculdade De Ciencias Sociais Aplicadas Do Sul De Minas - Facesm,Facesm,Mg
Faculdade De Ciencias Sociais Aplicadas Do Vale Do Sao Lourenco,Eduvale,Mt
Faculdade De Ciencias Sociais Aplicadas E De Tecnologias De Agua Boa,Facesa,Mt
Faculdade De Ciencias Sociais Aplicadas E Humanas De Garanhuns,Fahug,Pe
Faculdade De Ciencias Sociais Aplicadas Ibmec,Faculdades Ibmec,Null
Faculdade De Ciencias Sociais Aplicadas Santo Agostinho,Facisa,Null
Faculdade De Ciencias Sociais De Florianopolis,Fcsf,Sc
Faculdade De Ciencias Sociais De Guaranta Do Norte,Fcsgn,Mt
Faculdade De Ciencias Sociais De Ibiracu,Null,Es
Faculdade De Ciencias Sociais Dos Palmares,Facip,Pe
Faculdade De Ciencias Sociais E Agrarias De Itapeva,Fait,Sp
Faculdade De Ciencias Sociais E Aplicadas De Diamantino,Uned,Null
Faculdade De Ciencias Sociais E Aplicadas Do Parana,Facet,Pr
Faculdade De Ciencias Sociais E Humanas Sobral Pinto,Faiesp,Null
Faculdade De Ciencias Sociais E Tecnologicas,Facitec,Df
Faculdade De Ciencias Tecnologicas De Fortaleza,Fctfor,Ce
"Faculdade De Ciencias, Educacao E Teologia Do Norte Do Brasil",Faceten,Rr
"Faculdade De Ciencias, Educacao, Saude, Pesquisa E Gestao",Fsf,Rj
"Faculdade De Ciencias, Letras E Educacao Do Noroeste Do Parana",Faclenor,Pr
Faculdade De Colider,Facider,Mt
Faculdade De Colinas Do Tocantins,Null,To
Faculdade De Computacao De Montes Claros,Facomp,Mg
Faculdade De Computacao E Informatica Da Fundacao Armando Alvares Penteado,Fci-Faap,Sp
Faculdade De Comunicacao Anhanguera Unidade Guarapari,Null,Es
"Faculdade De Comunicacao E Design ""Oswaldo Cruz""",Null,Sp
Faculdade De Comunicacao E Marketing Da - Fundacao Armando Alvares Penteado,Facom-Faap,Sp
Faculdade De Comunicacao E Marketing Da Fundacao Armando Alvares Penteado,Facom-Faap,Null
Faculdade De Comunicacao E Turismo De Olinda,Facottur,Pe
Faculdade De Comunicacao Pitagoras Unidade Guarapari,Pit Guarapari,Es
Faculdade De Comunicacao Social De Hortolandia,Fcsh,Sp
Faculdade De Comunicacao Social De Passos,Facomp,Null
Faculdade De Comunicacao Social Jk,Faculdade Jk,Null
Faculdade De Comunicacao Social Santa Efigenia,Faculdade Veredas,Mg
Faculdade De Cornelio Procopio,Null,Pr
Faculdade De Curitiba,Null,Pr
Faculdade De Desenho Industrial De Maua,Fadim,Sp
Faculdade De Desenvolvimento Do Norte,Fadenorte,Mg
Faculdade De Desenvolvimento Do Rio Grande Do Sul,Fadergs,Rs
Faculdade De Desenvolvimento E Integracao Regional,Fadire,Pe
Faculdade De Desenvolvimento Sustentavel De Cruzeiro Do Sul,Ieval,Ac
Faculdade De Direito 8 De Julho,Null,Se
Faculdade De Direito Anhanguera Unidade Guarapari,Null,Es
Faculdade De Direito Atame,Atame,Go
Faculdade De Direito Avantis De Itapema,Avantis Itapema,Sc
Faculdade De Direito Da Alta Paulista,Fadap,Null
Faculdade De Direito Da Fundacao Armando Alvares Penteado,Fad-Faap,Null
Faculdade De Direito Da Fundacao Escola Superior Do Ministerio Publico,Null,Rs
Faculdade De Direito De Alta Floresta,Null,Mt
Faculdade De Direito De Araguaina,Itpac,To
Faculdade De Direito De Bauru,Fdb,Null
Faculdade De Direito De Cachoeiro Do Itapemirim,Fdci,Es
Faculdade De Direito De Caruaru,Fadica,Null
Faculdade De Direito De Conselheiro Lafaiete,Fdcl,Mg
Faculdade De Direito De Contagem,Fdcon,Mg
Faculdade De Direito De Franca,Fdf,Sp
Faculdade De Direito De Garanhuns,Fdg,Pe
Faculdade De Direito De Ipatinga,Fadipa,Mg
Faculdade De Direito De Itabira,Fdi,Mg
Faculdade De Direito De Itu,Faditu,Sp
Faculdade De Direito De Mogi Mirim,Fdmm,Null
Faculdade De Direito De Passos,Fadipa,Null
Faculdade De Direito De Porto Alegre,Fadipa,Null
Faculdade De Direito De Santa Maria,Fadisma,Rs
Faculdade De Direito De Sao Bernardo Do Campo,Fdsbc,Sp
Faculdade De Direito De Sorocaba,Fadi,Sp
Faculdade De Direito De Tangara Da Serra,Unic,Null
Faculdade De Direito De Uruguaiana - Anhanguera,Null,Rs
Faculdade De Direito De Varginha - Fadiva,Fadiva,Mg
Faculdade De Direito De Vila Velha,Null,Es
Faculdade De Direito De Vitoria,Fdv,Es
Faculdade De Direito Do Sul De Minas,Fdsm,Mg
Faculdade De Direito Do Vale Do Rio Doce,Fadivale,Mg
Faculdade De Direito E Ciencias Sociais Do Leste De Minas - Fadileste,Fadileste,Mg
Faculdade De Direito E Negocios,Fdn,Null
Faculdade De Direito Francisco Beltrao,Cesul,Pr
Faculdade De Direito Milton Campos,Fdmc,Mg
Faculdade De Direito Padre Arnaldo Janssen,Fajanssen,Mg
Faculdade De Direito Serra Dourada,,Pa
Faculdade De Direito Tech De Sao Paulo,Faditech,Sp
Faculdade De Direito Unidade Guarapari,Fadig,Es
"Faculdade De Direito, Ciencias E Tecnologia Santa Maria Mada",Fadict,Al
Faculdade De Dracena,Null,Sp
Faculdade De Duque De Caxias,Fdc,Rj
Faculdade De Economia Da Fundacao Armando Alvares Penteado,Fec-Faap,Null
Faculdade De Economia E Financas Do Rio De Janeiro,Fefrj,Rj
Faculdade De Economia E Financas Ibmec,Faculdades Ibmec,Rj
Faculdade De Economia E Processamento De Dados De Foz Do Iguacu,Fepi,Pr
Faculdade De Educacao,Isecub,Es
Faculdade De Educacao  Acriana Euclides Da Cunha,Inec,Ac
Faculdade De Educacao  E Tecnologia De Sao Carlos,Fetec - Sao Carlos,Sp
Faculdade De Educacao Administracao E Tecnologia De Ibaiti,Feati,Pr
Faculdade De Educacao Avancada Do Noroeste Capixaba,Feac,Es
Faculdade De Educacao Ciencias E Artes Dom Bosco De Monte Aprazivel,Faeca Dom Bosco,Sp
Faculdade De Educacao Ciencias E Letras De Paraiso,Fecipar,To
Faculdade De Educacao Ciencias E Letras De Ponta Pora,Feclepp,Null
Faculdade De Educacao Costa Braga,Fcb,Sp
Faculdade De Educacao Da Ibiapaba,Faedi,Ce
Faculdade De Educacao Da Serra,Fase,Es
Faculdade De Educacao De Alta Floresta,Feaflor,Null
Faculdade De Educacao De Assis,Faeda,Sp
Faculdade De Educacao De Bacabal - Febac,Febac,Ma
Faculdade De Educacao De Bom Despacho,Faceb,Mg
Faculdade De Educacao De Colorado Do Oeste,Faec,Ro
Faculdade De Educacao De Costa Rica,Fecra,Ms
Faculdade De Educacao De Guaratingueta,Faceg,Sp
Faculdade De Educacao De Itaborai,Feita,Rj
Faculdade De Educacao De Jaru,Unicentro,Ro
Faculdade De Educacao De Nova Andradina,Fena,Ms
Faculdade De Educacao De Patos De Minas,Faep,Mg
Faculdade De Educacao De Porto Velho,Uniron,Ro
Faculdade De Educacao De Santa Catarina,Faesc,Sc
Faculdade De Educacao De Sao Mateus,,Ma
Faculdade De Educacao De Tangara Da Serra,Null,Mt
Faculdade De Educacao De Vitoria,Aufes,Es
Faculdade De Educacao Do Piaui,Faepi,Pi
Faculdade De Educacao E Ciencias Gerenciais De Indaiatuba,Fecgi,Null
Faculdade De Educacao E Ciencias Gerenciais De Sao Paulo,Fecg-Sp,Sp
Faculdade De Educacao E Ciencias Humanas De Anicuns,Fecha,Go
Faculdade De Educacao E Cultura De Ji-Parana,Fajipa,Ro
Faculdade De Educacao E Cultura De Vilhena,Faev/Unesc,Ro
Faculdade De Educacao E Cultura Montessori,Famec,Sp
Faculdade De Educacao E Estudos Sociais De Governador Valadares,Funees G. Valadares,Null
Faculdade De Educacao E Estudos Sociais De Uberlandia,Feesu,Mg
Faculdade De Educacao E Meio Ambiente,Faema,Ro
Faculdade De Educacao E Tecnologia Da Amazonia,Fam,Pa
Faculdade De Educacao E Tecnologia De Araraquara,Fetec - Araraquara,Sp
Faculdade De Educacao E Tecnologia Do Espirito Santo,Fetes,Es
Faculdade De Educacao E Tecnologia Do Para,Faete,Pa
Faculdade De Educacao E Tecnologia Iracema,Null,Sp
Faculdade De Educacao Elia,Faceel,Pa
Faculdade De Educacao Em Ciencias Da Saude,Fecs,Sp
Faculdade De Educacao Fisica Da Associacao Crista De Mocos De Sorocaba,Fefiso,Sp
Faculdade De Educacao Fisica De Araguaina,Itpac,To
Faculdade De Educacao Fisica De Barra Bonita,Faefi,Sp
Faculdade De Educacao Fisica De Foz Do Iguacu,Null,Pr
Faculdade De Educacao Fisica Montenegro,Faefm,Null
Faculdade De Educacao Memorial Adelaide Franco,Femaf,Ma
Faculdade De Educacao Paulistana,Faep,Sp
Faculdade De Educacao Regional Serrana,Funpac,Es
Faculdade De Educacao Santa Terezinha,Fest,Ma
Faculdade De Educacao Sao Francisco,Faesf,Ma
Faculdade De Educacao Sao Luis,Fesl,Sp
Faculdade De Educacao Silva Serpa,Fass,Rj
Faculdade De Educacao Social Da Bahia,Faesb,Ba
Faculdade De Educacao Sul Do Piaui,,Pi
Faculdade De Educacao Superior De Catalao,,Go
Faculdade De Educacao Superior De Chapeco,Facesc,Sc
Faculdade De Educacao Superior De Divinopolis,,Mg
Faculdade De Educacao Superior De Paragominas,Facesp,Pa
Faculdade De Educacao Superior De Pernambuco,Faespe,Pe
Faculdade De Educacao Superior De Pouso Alegre,,Mg
Faculdade De Educacao Superior De Sete Lagoas,,Mg
Faculdade De Educacao Superior De Tangara Da Serra,Faest,Mt
Faculdade De Educacao Superior De Timbauba,Faest,Pe
Faculdade De Educacao Superior Do Parana,Fesppr,Pr
Faculdade De Educacao Superior Iesla,Iesla,Mg
Faculdade De Educacao Tecnologica Barra Mansa,Faeterj B.Mansa,Rj
Faculdade De Educacao Tecnologica Do Estado Do Rio De Janeiro,Faeterj Paracambi,Rj
Faculdade De Educacao Tecnologica Do Estado Do Rio De Janeiro - Faeterj,Faeterj S Ant. Padua,Rj
Faculdade De Educacao Tecnologica Do Estado Do Rio De Janeiro Fernando Mota,Faeterj-Rio,Rj
Faculdade De Educacao Thereza Porto Marques,Faetec,Null
Faculdade De Educacao Una De Bom Despacho,Una,Null
Faculdade De Educacao Vale Do Pajeu,Fvp,Pe
"Faculdade De Educacao, Tecnologia E Administracao De Caarapo",Null,Ms
Faculdade De Elesbao Veloso,Faeve,Pi
Faculdade De Empreendedorismo E Ciencias Humanas,Faculdade Faech,Mg
Faculdade De Enfermagem,Itpac,To
Faculdade De Enfermagem De Belo Jardim,Faeb,Null
Faculdade De Enfermagem De Passos,Faenpa,Null
Faculdade De Enfermagem E Medicina Nova Esperanca De Mossoro,Facene,Rn
Faculdade De Enfermagem Luiza De Marillac,Felm,Null
Faculdade De Enfermagem Nossa Senhora Das Gracas,Fensg,Pe
Faculdade De Enfermagem Nova Esperanca,Facene,Pb
Faculdade De Enfermagem Nova Esperanca De Mossoro - Facene/Rn,Facene/Rn,Rn
Faculdade De Enfermagem Sao Vicente De Paula,Fesvip,Pb
Faculdade De Engenharia Da Fundacao Armando Alvares Penteado,Fefaap,Null
Faculdade De Engenharia De Minas Gerais,Femg,Mg
Faculdade De Engenharia De Minas Gerais - Feamig,Feamig,Mg
Faculdade De Engenharia De Passos,Fep,Null
Faculdade De Engenharia De Resende,Fer,Rj
Faculdade De Engenharia De Sorocaba,Facens,Sp
Faculdade De Engenharia E Administracao Paulista,Feap,Sp
Faculdade De Engenharia E Agrimensura De Pirassununga - Feap,Feap,Sp
Faculdade De Engenharia E Agrimensura De Sao Paulo,Feasp,Sp
Faculdade De Engenharia E Inovacao Tecnico Profissi,Feitep,Pr
Faculdade De Engenharia E Tecnologia Do Instituto Mairipora De Ensino Superior,Imensu-Fet,Sp
Faculdade De Engenharia Eletrica De Conselheiro Lafaiete,Facec,Null
Faculdade De Engenharia Pitagoras De Santarem,,Pa
Faculdade De Engenharia Sao Paulo,Fesp,Sp
Faculdade De Engenharia Souza Marques,Fesm,Rj
Faculdade De Ensino De Minas Gerais,Facemg,Mg
Faculdade De Ensino De Pesquisa Do Cooperativismo,Fepcoop,Mt
Faculdade De Ensino E Cultura Do Ceara,Faece,Ce
Faculdade De Ensino Juridico De Vitoria,Fej,Es
Faculdade De Ensino Paschoal Dantas,Fepd,Sp
Faculdade De Ensino Portal,Fep,Ce
