name,sigla,state
Centro Universitario Anhanguera De Maraba,Null,Pa
Centro Universitario Anhanguera De Niteroi,Unian,Rj
Centro Universitario Anhanguera De Sao Paulo,Unibero,Sp
Centro Universitario Anhanguera Pitagoras Ampli,Null,Sp
Centro Universitario Anhanguera Pitagoras Unopar De Campo Grande,,Ms
Centro Universitario Anhanguera Pitagoras Unopar De Niteroi,Unian-Rj,Rj
Centro Universitario Antonio Eufrasio De Toledo De Presidente Prudente,Fiaetpp,Sp
Centro Universitario Antonio Eufrasio De Toledo De Presidente Prudente - Toledo Prudente,Toledo Prudente,Sp
Centro Universitario Aparicio Carvalho,Null,Ro
Centro Universitario Araguaia,Uniaraguaia,Go
Centro Universitario Armando Alvares Penteado,Fa-Faap,Sp
Centro Universitario Arnaldo Horacio Ferreira,Null,Ba
Centro Universitario Arthur Sa Earp Neto,Unifase,Rj
Centro Universitario Assis Gurgacz,Fag,Pr
Centro Universitario Assuncao,Unifai,Sp
Centro Universitario Atenas,Uniatenas,Mg
Centro Universitario Ateneu,Null,Ce
Centro Universitario Augusto Motta,Unisuam,Rj
Centro Universitario Autonomo Do Brasil,Unibrasil,Pr
Centro Universitario Avantis,Uniavan,Sc
Centro Universitario Barao De Maua,Cbm,Sp
Centro Universitario Barriga Verde,Unibave,Sc
Centro Universitario Barriga Verde / Unibave Cocal Do Sul,Unibave,Sc
Centro Universitario Belas Artes De Sao Paulo,Febasp,Sp
Centro Universitario Brasileiro,Unibra,Pe
Centro Universitario Brasilia Do Estado De Goias,Unibrasilia,Go
Centro Universitario Braz Cubas,,Sp
Centro Universitario Cambury,Unicambury,Go
Centro Universitario Campo Limpo Paulista,Unifaccamp,Sp
Centro Universitario Campo Real,Null,Pr
Centro Universitario Campos De Andrade,Uniandrade,Pr
Centro Universitario Candido Rondon,Unirondon,Mt
Centro Universitario Carioca,Unicarioca,Rj
Centro Universitario Carlos Drummond De Andrade,Unidrummond,Sp
Centro Universitario Castelo Branco,Unicb,Es
Centro Universitario Cathedral,Null,Mt
Centro Universitario Catolica De Quixada,Unicatolica,Ce
Centro Universitario Catolica Do Leste De Minas Gerais,Unileste,Mg
Centro Universitario Catolica Do Tocantins,Unicatolica,To
Centro Universitario Catolico Do Sudoeste Do Parana,Unics,Null
Centro Universitario Catolico Salesiano Auxilium,Unisalesiano,Sp
Centro Universitario Celso Lisboa,Ucl,Rj
Centro Universitario Cenecista De Osorio,Unicnec,Rs
Centro Universitario Central Paulista,Unicep,Sp
Centro Universitario Cesmac,Cesmac,Al
Centro Universitario Cesuca,Null,Rs
Centro Universitario Ceuni - Fametro,Fametro,Am
Centro Universitario Christus,Unichristus,Ce
Centro Universitario Cidade Verde,Unicv,Pr
Centro Universitario Claretiano,Ceuclar,Sp
Centro Universitario Cnec De Bento Goncalves,Null,Rs
Centro Universitario Curitiba,Unicuritiba,Pr
Centro Universitario Da Amazonia,Unama,Pa
Centro Universitario Da Cidade,Univercidade,Rj
Centro Universitario Da Cidade Do Rio De Janeiro,Univercidade,Rj
Centro Universitario Da Fundacao Educacional De Barretos,Unifeb,Sp
Centro Universitario Da Fundacao Educacional Guaxupe,Unifeg,Mg
Centro Universitario Da Fundacao Educacional Inaciana Pe Saboia De Medeiros,Fei,Sp
Centro Universitario Da Fundacao Herminio Ometto,Fho,Sp
Centro Universitario Da Grande Dourados,Unigran,Ms
Centro Universitario Da Grande Fortaleza,Unigrande,Ce
Centro Universitario Da Industria,Unindus,Pr
Centro Universitario Da Regiao Da Campanha,Null,Rs
Centro Universitario Da Serra Gaucha,Fsg,Rs
Centro Universitario Da Vitoria De Santo Antao,Univisa,Pe
Centro Universitario Dante,Unidante,Sc
Centro Universitario Das Americas,Cam,Sp
Centro Universitario Das Faculdades Associadas De Ensino,Unifae,Sp
Centro Universitario Das Faculdades Associadas De Ensino - Fae,Unifae,Sp
Centro Universitario Das Faculdades Integradas De Ourinhos,Unifio,Sp
Centro Universitario Das Faculdades Metropolitanas Unidas,Fmu,Sp
Centro Universitario De Adamantina,Fai,Sp
Centro Universitario De Anapolis,Unievangelica,Go
Centro Universitario De Araraquara,Uniara,To
Centro Universitario De Araras -,Unar,Sp
Centro Universitario De Araras - Dr. Edmundo Ulson,Unar,Sp
Centro Universitario De Barra Mansa,Ubm,Rj
Centro Universitario De Bauru,,Sp
Centro Universitario De Belford Roxo,Uniabeu,Rj
Centro Universitario De Belo Horizonte,Uni-Bh,Mg
Centro Universitario De Brasilia,Uniceub,Df
Centro Universitario De Brusque,Unifebe,Sc
Centro Universitario De Campo Grande,Unaes,Ms
Centro Universitario De Caratinga,Unec,Mg
Centro Universitario De Ciencias E Empreendedorismo,Unifacemp,Ba
Centro Universitario De Ciencias E Tecnologia Do Maranhao,Unifacema,Ma
Centro Universitario De Desenvolvimento Do Centro Oeste,Unidesc,Go
Centro Universitario De Ensino Superior Do Amazonas,Ciesa,Am
"Centro Universitario De Ensino, Ciencia E Tecnologia Do Parana",Uniensino,Pr
Centro Universitario De Excelencia,Unex,Ba
Centro Universitario De Excelencia Eniac,Eniac,Sp
Centro Universitario De Formiga,Uniformg,Mg
Centro Universitario De Franca,Null,Null
Centro Universitario De Goiania,Uniceug,Go
Centro Universitario De Goias,Unigoias,Go
Centro Universitario De Goiatuba,Unicerrado,Go
Centro Universitario De Itajuba,Fepi,Mg
Centro Universitario De Itapira Uniesi,Uniesi,Sp
Centro Universitario De Jaguariuna,Unifaj,Sp
Centro Universitario De Jales,Unijales,Sp
Centro Universitario De Jaragua Do Sul,Unerj,Sc
Centro Universitario De Joao Pessoa,Unipe,Pb
Centro Universitario De Lavras,Unilavras,Mg
Centro Universitario De Lins,Unilins,Sp
Centro Universitario De Mandaguari - Uniman,Fafiman,Pr
Centro Universitario De Maringa,Cesumar,Pr
Centro Universitario De Mineiros,Unifimes,Go
Centro Universitario De Pato Branco,Unidep,Pr
Centro Universitario De Patos,Unifip,Pb
Centro Universitario De Patos De Minas,Unipam,Mg
Centro Universitario De Paulinia,Unifacp,Sp
Centro Universitario De Rio Preto,Unirp,Sp
Centro Universitario De Rondonia,Unesc,Ro
Centro Universitario De Salvador,Uniceusa,Ba
Centro Universitario De Santa Fe Do Sul,Unifunec,Sp
Centro Universitario De Sete Lagoas,Unifemm,Mg
Centro Universitario De Sete Lagoas Monsenhor Messias,Unifemm,Mg
Centro Universitario De Talentos Humanos,Facthus,Mg
Centro Universitario De Tecnologia Carlos Drummond De Andrade,Null,Sp
Centro Universitario De Tecnologia De Curitiba,Unifatec,Pr
Centro Universitario De Tecnologia E Negocios Carlos Drummond De Andrade,Uniten Cda,Sp
Centro Universitario De Uniao Da Vitoria,Uniuv,Pr
Centro Universitario De Valenca,Unifaa,Rj
Centro Universitario De Varzea Grande,Univag,Mt
Centro Universitario De Vicosa,Univicosa,Mg
Centro Universitario De Volta Redonda,Unifoa,Rj
Centro Universitario De Votuporanga,Unifev,Sp
Centro Universitario Dinamica Das Cataratas,Udc,Pr
Centro Universitario Do Cerrado  Patrocinio,Unicerp,Mg
Centro Universitario Do Cerrado-Patrocinio,Unicerp,Mg
Centro Universitario Do Distrito Federal,Udf,Df
Centro Universitario Do Espirito Santo,Unesc,Es
Centro Universitario Do Estado Do Para,Cesupa,Pa
Centro Universitario Do Instituto De Educacao Superior De Brasilia - Iesb,Iesb,Df
Centro Universitario Do Instituto Maua De Tecnologia,Ceun-Imt,Sp
Centro Universitario Do Leste De Minas Gerais,Unileste/Mg,Mg
Centro Universitario Do Maranhao,Uniceuma,Ma
Centro Universitario Do Norte,Uninorte,Am
Centro Universitario Do Norte De Minas,Uninorte Minas,Mg
Centro Universitario Do Norte De Sao Paulo,Unorte,Sp
Centro Universitario Do Norte Paulista,Unorp,Sp
Centro Universitario Do Para,Cesupa,Pa
Centro Universitario Do Parana,Unipa,Pr
Centro Universitario Do Piaui,Unifapi,Pi
Centro Universitario Do Planalto Central Apparecido Dos Santos,Uniceplac,Df
Centro Universitario Do Planalto De Araxa,Uniaraxa,Mg
Centro Universitario Do Recife,Unipesu,Pe
Centro Universitario Do Rio De Janeiro,Unirj,Rj
Centro Universitario Do Rio Grande Do Norte,Uni-Rn,Rn
Centro Universitario Do Rio Sao Francisco Unirios,Unirios,Ba
Centro Universitario Do Sudeste Mineiro,Unicsum,Mg
Centro Universitario Do Sul De Minas,Unis-Mg,Mg
Centro Universitario Do Sul Goiano,Facbras,Go
Centro Universitario Do Triangulo,Unitri,Mg
Centro Universitario Do Vale Do Araguaia,Univar,Mt
Centro Universitario Do Vale Do Ipojuca,Univip,Pe
Centro Universitario Do Vale Do Jaguaribe,Unijaguaribe,Ce
Centro Universitario Do Vale Do Ribeira,Univr,Sp
Centro Universitario Doctum De Teofilo Otoni,Unidoctum,Mg
Centro Universitario Dom Bosco Do Rio De Janeiro,Unidombosco-Rj,Rj
Centro Universitario Dom Pedro Ii,Unidompedro,Ba
Centro Universitario Don Domenico,Unidon,Sp
Centro Universitario Dos Guararapes,Unifg,Pe
Centro Universitario Doutor Leao Sampaio,Unileao,Ce
Centro Universitario Espirito-Santense/Faesa,Null,Es
Centro Universitario Estacio Da Amazonia,Estacio Amazonia,Rr
Centro Universitario Estacio Da Bahia,Estacio Bahia,Ba
Centro Universitario Estacio De Belo Horizonte - Estacio Bh,Estacio Bh,Mg
Centro Universitario Estacio De Brasilia - Estacio Brasilia,Estacio Brasilia,Df
Centro Universitario Estacio De Goias,Estacio Goias,Go
Centro Universitario Estacio De Ji-Parana,Estacio Unijipa,Ro
Centro Universitario Estacio De Ribeirao Preto,Estacio Ribeirao Pre,Sp
Centro Universitario Estacio De Sa De Santa Catarina,Fessc,Sc
Centro Universitario Estacio De Santa Catarina - Estacio Santa Catarina,Null,Sc
Centro Universitario Estacio De Sao Luis,Null,Ma
Centro Universitario Estacio De Sao Paulo,Estacio Sao Paulo,Sp
Centro Universitario Estacio De Sergipe,Null,Se
Centro Universitario Estacio Do Ceara,Estacio Ceara,Ce
Centro Universitario Estacio Do Recife,Null,Pe
Centro Universitario Estacio Juiz De Fora - Estacio Juiz De Fora,Null,Mg
Centro Universitario Estacio Meta De Rio Branco Estacio,Unimeta,Ac
Centro Universitario Estacio Radial De Sao Paulo - Estacio Uniradial,Estacio Uniradial,Sp
Centro Universitario Estadual Da Zona Oeste,Uezo,Rj
Centro Universitario Etep,Null,Sp
Centro Universitario Euripedes De Marilia,Univem,Sp
Centro Universitario Euro-Americano,Unieuro,Df
Centro Universitario Facens,Unifacens,Sp
Centro Universitario Facex,Unifacex,Rn
Centro Universitario Facid Wyden,Unifacid Wyden,Pi
Centro Universitario Facisa,Unifacisa,Pb
Centro Universitario Facol,Unifacol,Pe
Centro Universitario Facunicamps,Facunicamps,Go
Centro Universitario Facvest,Unifacvest,Sc
Centro Universitario Fadergs,Fadergs,Rs
Centro Universitario Fael,Unifael,Pr
Centro Universitario Faema,Unifaema,Ro
Centro Universitario Faesa,Null,Es
Centro Universitario Fai,Null,Sc
Centro Universitario Famec,Unifamec,Ba
Centro Universitario Fametro,Unifametro,Ce
Centro Universitario Faminas,Unifaminas,Mg
Centro Universitario Fanor Wyden,Unifanor Wyden,Ce
Centro Universitario Farias Brito,Null,Ce
Centro Universitario Fasipe,Null,Mt
Centro Universitario Faveni,Unifaveni,Sp
Centro Universitario Favip Wyden,Unifavip Wyden,Pe
Centro Universitario Fbv Wyden,Unifbv Wyden,Pe
Centro Universitario Fg,Unifg,Ba
Centro Universitario Fibra,Unifibra,Pa
Centro Universitario Fieo,Unifieo,Sp
Centro Universitario Filadelfia,Unifil,Pr
Centro Universitario Fip-Moc,Unifipmoc,Mg
Centro Universitario Fluminense,Uniflu,Rj
Centro Universitario Fmabc,Fmabc,Sp
Centro Universitario Franciscano,Unifra,Rs
Centro Universitario Funcesi,Unifuncesi,Mg
Centro Universitario Fundacao De Ensino Octavio Bastos - Feob,Unifeob,Sp
Centro Universitario Fundacao Instituto De Ensino Para Osasco,Unifieo,Sp
Centro Universitario Fundacao Santo Andre,Cufsa,Sp
Centro Universitario Funorte,Unifunorte,Mg
Centro Universitario Funvic,Unifunvic,Sp
Centro Universitario Gama E Souza,Null,Rj
Centro Universitario Geraldo Di Biase,Ugb,Rj
Centro Universitario Governador Ozanam Coelho,Unifagoc,Mg
Centro Universitario Goyazes,Unigoyazes,Go
Centro Universitario Guairaca,Uniguairaca,Pr
Centro Universitario Herminio Da Silveira,Uni Ibmr,Rj
Centro Universitario Herminio Ometto,Uniararas,Sp
Centro Universitario Ibmec,Ibmec,Rj
Centro Universitario Ibmr,Null,Rj
Centro Universitario Icesp,Unicesp,Df
